Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2013-01-29,Run,143116,Greenlake 3k,1241,3.90,5.30,173,,"Out week for cold.
"
2013-01-20,Run,143114,Reservoir Basic,1018,3.40,4.99,177,,
2013-01-17,Run,143116,Greenlake 3k,1195,3.90,5.11,180,,Icy!
2013-01-15,Run,143117,Greenlake 5k,1485,5.01,4.94,179,,
2013-01-13,Run,143117,Greenlake 5k,1476,5.01,4.91,180,,
2013-01-11,Run,144248,Greenlake out-and-back 5k (deprecated),1500,4.90,5.10,178,,
2013-01-07,Run,143118,Reservoir 5k,1557,4.98,5.21,180,,(estimated time)
2013-01-05,Run,143114,Reservoir Basic,1032,3.40,5.06,180,,
2013-01-03,Run,143117,Greenlake 5k,1516,5.01,5.04,180,,
2013-01-01,Run,143117,Greenlake 5k,1534,5.01,5.10,180,,
2012-12-31,Run,143114,Reservoir Basic,1070,3.40,5.24,184,,"Holiday!
"
2012-12-28,Treadmill,,,1500,4.83,5.18,,,Victoria BC Hotel
2012-12-26,Run-walk,144248,Greenlake out-and-back 5k (deprecated),1495,4.90,5.09,180,,
2012-12-24,Run-walk,143117,Greenlake 5k,1680,5.01,5.59,180,,
2012-12-22,Run,143117,Greenlake 5k,1540,5.01,5.12,180,,
2012-12-20,Run,143118,Reservoir 5k,1590,4.98,5.32,180,,
2012-12-18,Run,143117,Greenlake 5k,1546,5.01,5.14,180,,
2012-12-16,Run,143648,Walla Walla 3k,1020,3.39,5.01,180,,
2012-12-14,Run,143114,Reservoir Basic,1053,3.40,5.16,180,,
